Sigla Empresa;Nombre;Fecha;Año;Número de Mes;Origen;Nombre;Ciudad Origen;Pais Origen;Destino;Nombre;Ciudad Destino;Pais Destino;Tráfico (N/I);Tipo Vuelo;Pasajeros;Carga + Correo (Kg)
0EC;SAE;01-ene-23 00:00:00;2023;1;A06;EL ENCANTO;EL ENCANTO;COLOMBIA;PUR;PUERTO ARICA;LETICIA;COLOMBIA;N;T;0;18
0EC;SAE;01-ene-23 00:00:00;2023;1;A06;EL ENCANTO;EL ENCANTO;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;2;18
0EC;SAE;01-ene-23 00:00:00;2023;1;A13;MIRITI PARANA;MIRITI-PARANA;COLOMBIA;ACR;ARARACUARA;ARARACUARA;COLOMBIA;N;T;3;18
0EC;SAE;01-ene-23 00:00:00;2023;1;ACR;ARARACUARA;ARARACUARA;COLOMBIA;LET;LETICIA-ALFREDO VASQUEZ COBO;LETICIA;COLOMBIA;N;T;5;18
0EC;SAE;01-ene-23 00:00:00;2023;1;ACR;ARARACUARA;ARARACUARA;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;3;45
0EC;SAE;01-ene-23 00:00:00;2023;1;CRU;CARURU;CARURU;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;3;18
0EC;SAE;01-ene-23 00:00:00;2023;1;GRM;GUERIMA;PUERTO CARRENO;COLOMBIA;PCE;CUMARIBO;PUERTO CARRENO;COLOMBIA;N;T;2;27
0EC;SAE;01-ene-23 00:00:00;2023;1;GYM;GUAYMARAL;CHIA;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;0;0
0EC;SAE;01-ene-23 00:00:00;2023;1;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;0;0
0EC;SAE;01-ene-23 00:00:00;2023;1;LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;COLOMBIA;A06;EL ENCANTO;EL ENCANTO;COLOMBIA;N;T;0;18
0EC;SAE;01-ene-23 00:00:00;2023;1;LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;COLOMBIA;CRU;CARURU;CARURU;COLOMBIA;N;T;1;18
0EC;SAE;01-ene-23 00:00:00;2023;1;LET;LETICIA-ALFREDO VASQUEZ COBO;LETICIA;COLOMBIA;PUR;PUERTO ARICA;LETICIA;COLOMBIA;N;T;13;36
0EC;SAE;01-ene-23 00:00:00;2023;1;LMC;LA MACARENA - META;LA MACARENA;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;3;0
0EC;SAE;01-ene-23 00:00:00;2023;1;NVA;NEIVA - BENITO SALAS;NEIVA;COLOMBIA;GYM;GUAYMARAL;CHIA;COLOMBIA;N;T;4;45
0EC;SAE;01-ene-23 00:00:00;2023;1;NVA;NEIVA - BENITO SALAS;NEIVA;COLOMBIA;PSO;PASTO - ANTONIO NARIQO;PASTO;COLOMBIA;N;T;3;9
0EC;SAE;01-ene-23 00:00:00;2023;1;NVA;NEIVA - BENITO SALAS;NEIVA;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;1;23
0EC;SAE;01-ene-23 00:00:00;2023;1;PCE;CUMARIBO;PUERTO CARRENO;COLOMBIA;NVA;NEIVA - BENITO SALAS;NEIVA;COLOMBIA;N;T;8;41
0EC;SAE;01-ene-23 00:00:00;2023;1;PCE;CUMARIBO;PUERTO CARRENO;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;22;181
